c n x y
Power2 LCOE 0.0 Y+IMin+FC
Heat1 Invest 18271.23710332041 Y+IMin+FC
Heat1 Fuel 1287.0 Y+IMin+FC
Heat1 Maint 6400.0 Y+IMin+FC
Heat1 Certificates 0 Y+IMin+FC
Heat1 Grid_Tariffs 0 Y+IMin+FC
Heat1 Emission_costs 0 Y+IMin+FC
Heat1 LCOE 20.16957039885035 Y+IMin+FC
PV Invest 3514.625318952278 Y+IMin+FC
PV Fuel 0 Y+IMin+FC
PV Maint 1314.0 Y+IMin+FC
PV Certificates 0 Y+IMin+FC
PV Grid_Tariffs 0 Y+IMin+FC
PV Emission_costs 0 Y+IMin+FC
PV LCOE 0.07690604612128311 Y+IMin+FC
ST Invest 3610.916423581108 Y+IMin+FC
ST Fuel 0 Y+IMin+FC
ST Maint 450.0 Y+IMin+FC
ST Certificates 0 Y+IMin+FC
ST Grid_Tariffs 0 Y+IMin+FC
ST Emission_costs 0 Y+IMin+FC
ST LCOE 0.0961734317518374 Y+IMin+FC
ElGrid Invest 0 Y+IMin+FC
ElGrid Fuel 0 Y+IMin+FC
ElGrid Maint 0 Y+IMin+FC
ElGrid Certificates 0 Y+IMin+FC
ElGrid Grid_Tariffs 0 Y+IMin+FC
ElGrid Emission_costs 0 Y+IMin+FC
ElGrid LCOE 0.1357824611476307 Y+IMin+FC
DH Invest 0 Y+IMin+FC
DH Fuel 0 Y+IMin+FC
DH Maint 0 Y+IMin+FC
DH Certificates 0 Y+IMin+FC
DH Grid_Tariffs 0 Y+IMin+FC
DH Emission_costs 0 Y+IMin+FC
DH LCOE 1.447603462996328 Y+IMin+FC
Total Invest 30416.537 Y+BIO
Total Fuel 45184.326 Y+BIO
Total Maint 9295.714 Y+BIO
Total Import 63440.774 Y+BIO
Total Export 0.0 Y+BIO
Total Certificates 125.571 Y+BIO
Total DH 25024.43 Y+BIO
Total Grid_Tariffs 12623.5 Y+BIO
Total Emission_costs 10114.432 Y+BIO
Total Total_cost 172650.21 Y+BIO
Total Emissions 19698064.871 Y+BIO
Total LCOE 0.0 Y+BIO
Power1 Invest 0.0 Y+BIO
Power1 Fuel 0.0 Y+BIO
Power1 Maint 0.0 Y+BIO
Power1 Certificates 0 Y+BIO
Power1 Grid_Tariffs 0 Y+BIO
Power1 Emission_costs 0 Y+BIO
Power1 LCOE 0.0 Y+BIO
Power2 Invest 11757.83578101519 Y+BIO
Power2 Fuel 45184.32595038411 Y+BIO
Power2 Maint 7457.142857142857 Y+BIO
Power2 Certificates 0 Y+BIO
Power2 Grid_Tariffs 0 Y+BIO
Power2 Emission_costs 0 Y+BIO
Power2 LCOE 0.06678349956507518 Y+BIO
Heat1 Invest 0.0 Y+BIO
Heat1 Fuel 0.0 Y+BIO
Heat1 Maint 0.0 Y+BIO
Heat1 Certificates 0 Y+BIO
Heat1 Grid_Tariffs 0 Y+BIO
Heat1 Emission_costs 0 Y+BIO
Heat1 LCOE 0.0 Y+BIO
PV Invest 2166.549854148665 Y+BIO
PV Fuel 0 Y+BIO
PV Maint 1388.571428571428 Y+BIO
PV Certificates 0 Y+BIO
PV Grid_Tariffs 0 Y+BIO
PV Emission_costs 0 Y+BIO
PV LCOE 0.05662280737801201 Y+BIO
ST Invest 3282.651294164643 Y+BIO
ST Fuel 0 Y+BIO
ST Maint 450.0 Y+BIO
ST Certificates 0 Y+BIO
ST Grid_Tariffs 0 Y+BIO
ST Emission_costs 0 Y+BIO
ST LCOE 0.08839922989013001 Y+BIO
ElGrid Invest 0 Y+BIO
ElGrid Fuel 0 Y+BIO
ElGrid Maint 0 Y+BIO
ElGrid Certificates 0 Y+BIO
ElGrid Grid_Tariffs 0 Y+BIO
ElGrid Emission_costs 0 Y+BIO
ElGrid LCOE 0.09351133452964655 Y+BIO
DH Invest 0 Y+BIO
DH Fuel 0 Y+BIO
DH Maint 0 Y+BIO
DH Certificates 0 Y+BIO
DH Grid_Tariffs 0 Y+BIO
DH Emission_costs 0 Y+BIO
DH LCOE 0.592645858863579 Y+BIO
Total Invest 31409.921 Y+BIO+FC
Total Fuel 67352.468 Y+BIO+FC
Total Maint 5777.033 Y+BIO+FC
Total Import 37664.098 Y+BIO+FC
Total Export 0.111 Y+BIO+FC
Total Certificates 125.571 Y+BIO+FC
Total DH 28871.39 Y+BIO+FC
Total Grid_Tariffs 12623.5 Y+BIO+FC
Total Emission_costs 0.0 Y+BIO+FC
Total Total_cost 170363.227 Y+BIO+FC
Total Emissions 10026353.587 Y+BIO+FC
Total LCOE 0.0 Y+BIO+FC
Power1 Invest 12751.2196889065 Y+BIO+FC
Power1 Fuel 67352.46817917064 Y+BIO+FC
