c n x y
Power1 Grid_Tariffs 0 W+IMin+BIO
Power1 Emission_costs 0 W+IMin+BIO
Power1 LCOE 0.0 W+IMin+BIO
Power2 Invest 225.4927410057708 W+IMin+BIO
Power2 Fuel 1102.079999999997 W+IMin+BIO
Power2 Maint 143.013698630137 W+IMin+BIO
Power2 Certificates 0 W+IMin+BIO
Power2 Grid_Tariffs 0 W+IMin+BIO
Power2 Emission_costs 0 W+IMin+BIO
Power2 LCOE 0.06252493365798915 W+IMin+BIO
Heat1 Invest 299.623622142995 W+IMin+BIO
Heat1 Fuel 0.0 W+IMin+BIO
Heat1 Maint 75.53213909378294 W+IMin+BIO
Heat1 Certificates 0 W+IMin+BIO
Heat1 Grid_Tariffs 0 W+IMin+BIO
Heat1 Emission_costs 0 W+IMin+BIO
Heat1 LCOE 0.0 W+IMin+BIO
PV Invest 41.55027117545384 W+IMin+BIO
PV Fuel 0 W+IMin+BIO
PV Maint 26.63013698630137 W+IMin+BIO
PV Certificates 0 W+IMin+BIO
PV Grid_Tariffs 0 W+IMin+BIO
PV Emission_costs 0 W+IMin+BIO
PV LCOE 0.2507370114804178 W+IMin+BIO
ST Invest 62.95495632644522 W+IMin+BIO
ST Fuel 0 W+IMin+BIO
ST Maint 8.63013698630137 W+IMin+BIO
ST Certificates 0 W+IMin+BIO
ST Grid_Tariffs 0 W+IMin+BIO
ST Emission_costs 0 W+IMin+BIO
ST LCOE 0.4227549359992122 W+IMin+BIO
ElGrid Invest 0 W+IMin+BIO
ElGrid Fuel 0 W+IMin+BIO
ElGrid Maint 0 W+IMin+BIO
ElGrid Certificates 0 W+IMin+BIO
ElGrid Grid_Tariffs 0 W+IMin+BIO
ElGrid Emission_costs 0 W+IMin+BIO
ElGrid LCOE 0.1138647657903934 W+IMin+BIO
DH Invest 0 W+IMin+BIO
DH Fuel 0 W+IMin+BIO
DH Maint 0 W+IMin+BIO
DH Certificates 0 W+IMin+BIO
DH Grid_Tariffs 0 W+IMin+BIO
DH Emission_costs 0 W+IMin+BIO
DH LCOE 12.7433688783372 W+IMin+BIO
Total Invest 1128.196 W+IMin+BIO+FC
Total Fuel 2055.754 W+IMin+BIO+FC
Total Maint 329.338 W+IMin+BIO+FC
Total Import 0.0 W+IMin+BIO+FC
Total Export 47.78 W+IMin+BIO+FC
Total Certificates 0.544 W+IMin+BIO+FC
Total DH 1781.931 W+IMin+BIO+FC
Total Grid_Tariffs 207.794 W+IMin+BIO+FC
Total Emission_costs 112.763 W+IMin+BIO+FC
Total Total_cost 5200.658 W+IMin+BIO+FC
Total Emissions 111135.922 W+IMin+BIO+FC
Total LCOE 0.0 W+IMin+BIO+FC
Power1 Invest 244.5439392393027 W+IMin+BIO+FC
Power1 Fuel 1552.008141860499 W+IMin+BIO+FC
Power1 Maint 75.53213909378294 W+IMin+BIO+FC
Power1 Certificates 0 W+IMin+BIO+FC
Power1 Grid_Tariffs 0 W+IMin+BIO+FC
Power1 Emission_costs 0 W+IMin+BIO+FC
Power1 LCOE 0.06412725330850516 W+IMin+BIO+FC
Power2 Invest 225.4927410057708 W+IMin+BIO+FC
Power2 Fuel 503.7454993823297 W+IMin+BIO+FC
Power2 Maint 143.013698630137 W+IMin+BIO+FC
Power2 Certificates 0 W+IMin+BIO+FC
Power2 Grid_Tariffs 0 W+IMin+BIO+FC
Power2 Emission_costs 0 W+IMin+BIO+FC
Power2 LCOE 0.0811342811475173 W+IMin+BIO+FC
Heat1 Invest 299.623622142995 W+IMin+BIO+FC
Heat1 Fuel 0.0 W+IMin+BIO+FC
Heat1 Maint 75.53213909378294 W+IMin+BIO+FC
Heat1 Certificates 0 W+IMin+BIO+FC
Heat1 Grid_Tariffs 0 W+IMin+BIO+FC
Heat1 Emission_costs 0 W+IMin+BIO+FC
Heat1 LCOE 0.0 W+IMin+BIO+FC
PV Invest 41.55027117545384 W+IMin+BIO+FC
PV Fuel 0 W+IMin+BIO+FC
PV Maint 26.63013698630137 W+IMin+BIO+FC
PV Certificates 0 W+IMin+BIO+FC
PV Grid_Tariffs 0 W+IMin+BIO+FC
PV Emission_costs 0 W+IMin+BIO+FC
PV LCOE 0.2507370114804178 W+IMin+BIO+FC
ST Invest 62.95495632644522 W+IMin+BIO+FC
ST Fuel 0 W+IMin+BIO+FC
ST Maint 8.63013698630137 W+IMin+BIO+FC
ST Certificates 0 W+IMin+BIO+FC
ST Grid_Tariffs 0 W+IMin+BIO+FC
ST Emission_costs 0 W+IMin+BIO+FC
ST LCOE 0.4227549359992122 W+IMin+BIO+FC
ElGrid Invest 0 W+IMin+BIO+FC
ElGrid Fuel 0 W+IMin+BIO+FC
ElGrid Maint 0 W+IMin+BIO+FC
ElGrid Certificates 0 W+IMin+BIO+FC
ElGrid Grid_Tariffs 0 W+IMin+BIO+FC
ElGrid Emission_costs 0 W+IMin+BIO+FC
ElGrid LCOE 0.0 W+IMin+BIO+FC
DH Invest 0 W+IMin+BIO+FC
DH Fuel 0 W+IMin+BIO+FC
DH Maint 0 W+IMin+BIO+FC
DH Certificates 0 W+IMin+BIO+FC
DH Grid_Tariffs 0 W+IMin+BIO+FC
DH Emission_costs 0 W+IMin+BIO+FC
DH LCOE 10.52341945642908 W+IMin+BIO+FC
Total Invest 902.703 W+IMin+FC
Total Fuel 1672.136 W+IMin+FC
Total Maint 186.325 W+IMin+FC
Total Import 190.618 W+IMin+FC
Total Export 52.781 W+IMin+FC
Total Certificates 0.544 W+IMin+FC
Total DH 2445.431 W+IMin+FC
Total Grid_Tariffs 207.794 W+IMin+FC
Total Emission_costs 0.0 W+IMin+FC
Total Total_cost 5297.652 W+IMin+FC
Total Emissions 138163.682 W+IMin+FC
Total LCOE 0.0 W+IMin+FC
Power1 Invest 244.5439392393027 W+IMin+FC
Power1 Fuel 1672.136196205988 W+IMin+FC
Power1 Maint 75.53213909378294 W+IMin+FC
Power1 Certificates 0 W+IMin+FC
Power1 Grid_Tariffs 0 W+IMin+FC
Power1 Emission_costs 0 W+IMin+FC
Power1 LCOE 0.0633395820840277 W+IMin+FC
Power2 Invest 0.0 W+IMin+FC
Power2 Fuel 0.0 W+IMin+FC
Power2 Maint 0.0 W+IMin+FC
Power2 Certificates 0 W+IMin+FC
Power2 Grid_Tariffs 0 W+IMin+FC
Power2 Emission_costs 0 W+IMin+FC
Power2 LCOE 0.0 W+IMin+FC
Heat1 Invest 299.623622142995 W+IMin+FC
Heat1 Fuel 0.0 W+IMin+FC
Heat1 Maint 75.53213909378294 W+IMin+FC
Heat1 Certificates 0 W+IMin+FC
Heat1 Grid_Tariffs 0 W+IMin+FC
Heat1 Emission_costs 0 W+IMin+FC
Heat1 LCOE 0.0 W+IMin+FC
PV Invest 41.55027117545384 W+IMin+FC
PV Fuel 0 W+IMin+FC
PV Maint 26.63013698630137 W+IMin+FC
PV Certificates 0 W+IMin+FC
PV Grid_Tariffs 0 W+IMin+FC
PV Emission_costs 0 W+IMin+FC
PV LCOE 0.2507370114804178 W+IMin+FC
ST Invest 62.95495632644522 W+IMin+FC
ST Fuel 0 W+IMin+FC
ST Maint 8.63013698630137 W+IMin+FC
ST Certificates 0 W+IMin+FC
ST Grid_Tariffs 0 W+IMin+FC
ST Emission_costs 0 W+IMin+FC
ST LCOE 0.4227549359992122 W+IMin+FC
ElGrid Invest 0 W+IMin+FC
ElGrid Fuel 0 W+IMin+FC
ElGrid Maint 0 W+IMin+FC
ElGrid Certificates 0 W+IMin+FC
ElGrid Grid_Tariffs 0 W+IMin+FC
ElGrid Emission_costs 0 W+IMin+FC
ElGrid LCOE 0.2032413686221329 W+IMin+FC
DH Invest 0 W+IMin+FC
DH Fuel 0 W+IMin+FC
DH Maint 0 W+IMin+FC
DH Certificates 0 W+IMin+FC
DH Grid_Tariffs 0 W+IMin+FC
DH Emission_costs 0 W+IMin+FC
DH LCOE 14.44180677441326 W+IMin+FC
Total Invest 883.652 S+IMin+BIO
Total Fuel 486.179 S+IMin+BIO
Total Maint 253.806 S+IMin+BIO
Total Import 827.404 S+IMin+BIO
Total Export 0.0 S+IMin+BIO
Total Certificates 4.217 S+IMin+BIO
Total DH 25.919 S+IMin+BIO
Total Grid_Tariffs 207.794 S+IMin+BIO
Total Emission_costs 108.83 S+IMin+BIO
Total Total_cost 2426.507 S+IMin+BIO
Total Emissions 243229.914 S+IMin+BIO
Total LCOE 0.0 S+IMin+BIO
Power1 Invest 0.0 S+IMin+BIO
Power1 Fuel 0.0 S+IMin+BIO
Power1 Maint 0.0 S+IMin+BIO
Power1 Certificates 0 S+IMin+BIO
Power1 Grid_Tariffs 0 S+IMin+BIO
Power1 Emission_costs 0 S+IMin+BIO
Power1 LCOE 0.0 S+IMin+BIO
