c n x y
Power1 Grid_Tariffs 0 W+IMin+POD+BIO+FC
Power1 Emission_costs 0 W+IMin+POD+BIO+FC
Power1 LCOE 0.06601194503195146 W+IMin+POD+BIO+FC
Power2 Invest 225.4927410057708 W+IMin+POD+BIO+FC
Power2 Fuel 1102.079999999995 W+IMin+POD+BIO+FC
Power2 Maint 143.013698630137 W+IMin+POD+BIO+FC
Power2 Certificates 0 W+IMin+POD+BIO+FC
Power2 Grid_Tariffs 0 W+IMin+POD+BIO+FC
Power2 Emission_costs 0 W+IMin+POD+BIO+FC
Power2 LCOE 0.06252493365798908 W+IMin+POD+BIO+FC
Heat1 Invest 0.0 W+IMin+POD+BIO+FC
Heat1 Fuel 0.0 W+IMin+POD+BIO+FC
Heat1 Maint 0.0 W+IMin+POD+BIO+FC
Heat1 Certificates 0 W+IMin+POD+BIO+FC
Heat1 Grid_Tariffs 0 W+IMin+POD+BIO+FC
Heat1 Emission_costs 0 W+IMin+POD+BIO+FC
Heat1 LCOE 0.0 W+IMin+POD+BIO+FC
PV Invest 41.55027117545384 W+IMin+POD+BIO+FC
PV Fuel 0 W+IMin+POD+BIO+FC
PV Maint 26.63013698630137 W+IMin+POD+BIO+FC
PV Certificates 0 W+IMin+POD+BIO+FC
PV Grid_Tariffs 0 W+IMin+POD+BIO+FC
PV Emission_costs 0 W+IMin+POD+BIO+FC
PV LCOE 0.2507370114804178 W+IMin+POD+BIO+FC
ST Invest 62.95495632644522 W+IMin+POD+BIO+FC
ST Fuel 0 W+IMin+POD+BIO+FC
ST Maint 8.63013698630137 W+IMin+POD+BIO+FC
ST Certificates 0 W+IMin+POD+BIO+FC
ST Grid_Tariffs 0 W+IMin+POD+BIO+FC
ST Emission_costs 0 W+IMin+POD+BIO+FC
ST LCOE 0.4227549359992122 W+IMin+POD+BIO+FC
ElGrid Invest 0 W+IMin+POD+BIO+FC
ElGrid Fuel 0 W+IMin+POD+BIO+FC
ElGrid Maint 0 W+IMin+POD+BIO+FC
ElGrid Certificates 0 W+IMin+POD+BIO+FC
ElGrid Grid_Tariffs 0 W+IMin+POD+BIO+FC
ElGrid Emission_costs 0 W+IMin+POD+BIO+FC
ElGrid LCOE 4.780712379027579 W+IMin+POD+BIO+FC
DH Invest 0 W+IMin+POD+BIO+FC
DH Fuel 0 W+IMin+POD+BIO+FC
DH Maint 0 W+IMin+POD+BIO+FC
DH Certificates 0 W+IMin+POD+BIO+FC
DH Grid_Tariffs 0 W+IMin+POD+BIO+FC
DH Emission_costs 0 W+IMin+POD+BIO+FC
DH LCOE 0.04247198264878019 W+IMin+POD+BIO+FC
Total Invest 358.535 W+IMin+POD+FC
Total Fuel 2426.443 W+IMin+POD+FC
Total Maint 35.26 W+IMin+POD+FC
Total Import 4.231 W+IMin+POD+FC
Total Export 28.231 W+IMin+POD+FC
Total Certificates 0.544 W+IMin+POD+FC
Total DH 7.192 W+IMin+POD+FC
Total Grid_Tariffs 207.794 W+IMin+POD+FC
Total Emission_costs 246.699 W+IMin+POD+FC
Total Total_cost 2756.65 W+IMin+POD+FC
Total Emissions 105242.965 W+IMin+POD+FC
Total LCOE 0.0 W+IMin+POD+FC
Power1 Invest 0.0 W+IMin+POD+FC
Power1 Fuel 1324.362667105214 W+IMin+POD+FC
Power1 Maint 0.0 W+IMin+POD+FC
Power1 Certificates 0 W+IMin+POD+FC
Power1 Grid_Tariffs 0 W+IMin+POD+FC
Power1 Emission_costs 0 W+IMin+POD+FC
Power1 LCOE 0.05316327885476608 W+IMin+POD+FC
Power2 Invest 0.0 W+IMin+POD+FC
Power2 Fuel 1102.079999999995 W+IMin+POD+FC
Power2 Maint 0.0 W+IMin+POD+FC
Power2 Certificates 0 W+IMin+POD+FC
Power2 Grid_Tariffs 0 W+IMin+POD+FC
Power2 Emission_costs 0 W+IMin+POD+FC
Power2 LCOE 0.04685714285714266 W+IMin+POD+FC
Heat1 Invest 0.0 W+IMin+POD+FC
Heat1 Fuel 0.0 W+IMin+POD+FC
Heat1 Maint 0.0 W+IMin+POD+FC
Heat1 Certificates 0 W+IMin+POD+FC
Heat1 Grid_Tariffs 0 W+IMin+POD+FC
Heat1 Emission_costs 0 W+IMin+POD+FC
Heat1 LCOE 0.0 W+IMin+POD+FC
PV Invest 41.55027117545384 W+IMin+POD+FC
PV Fuel 0 W+IMin+POD+FC
PV Maint 26.63013698630137 W+IMin+POD+FC
PV Certificates 0 W+IMin+POD+FC
PV Grid_Tariffs 0 W+IMin+POD+FC
